Byte	frequency
0	0.006171787071494048
1	0.0011087908979457168
2	0.001086157656156804
3	7.59125474701821E-4
4	9.869154528356519E-4
5	7.557630442560753E-4
6	5.99547587235074E-4
7	7.978690637650996E-4
8	8.124867372830769E-4
9	4.738250246567504E-4
10	7.394803338865062E-4
11	7.562308406514398E-4
12	6.314908802647247E-4
13	7.388063271923494E-4
14	3.3956189347249125E-4
15	5.340838729257168E-4
16	0.0012371488587556087
17	4.8416270627569386E-4
18	2.6183853633976397E-4
19	0.0015167327007397455
20	0.001032417680977396
21	6.732202763211211E-4
22	3.7374176526002204E-4
23	5.092199717949106E-4
24	6.968315214467337E-4
25	0.003366214491856588
26	4.926901619226252E-4
27	4.2442978131618865E-4
28	0.0019078125200757887
29	0.0018329432532316395
30	4.556406765479558E-4
31	4.953431571308371E-4
32	0.002021341269073794
33	9.585023905611359E-4
34	5.862324996106349E-4
35	6.306622732056243E-4
36	0.0010315164387793795
37	5.704149434664636E-4
38	7.086235695261356E-4
39	8.230721387578335E-4
40	7.33025504157142E-4
41	0.0013442158664357766
42	7.465243790477111E-4
43	3.611216586406951E-4
44	4.946795839101353E-4
45	7.087882342523154E-4
46	8.970448187349293E-4
47	7.519882710612583E-4
48	9.584413374121986E-4
49	7.892985622291037E-4
50	6.393698734761832E-4
51	0.0011330919019549583
52	6.80601170538333E-4
53	8.928757653701723E-4
54	7.825619863485532E-4
55	4.079442092485746E-4
56	7.051771210747154E-4
57	6.28570257976382E-4
58	7.57361273244357E-4
59	4.721173578057417E-4
60	0.001123567653604814
61	4.7221904958215735E-4
62	6.951350907849382E-4
63	5.574435381376812E-4
64	0.0
65	0.0
66	0.0018947693085254037
67	0.002826817563114533
68	4.1574932443948833E-4
69	4.4493531993699165E-4
70	0.0
71	0.0
72	0.0
73	1.084506294006783E-5
74	1.7133377587666764E-5
75	0.0
76	1.0702219064895867E-5
77	0.0
78	0.0
79	0.0
80	6.068504054961158E-4
81	4.010520080875443E-4
82	0.0
83	0.0
84	0.0
85	0.0
86	0.0
87	0.0
88	5.824111822947001E-4
89	5.192310750953075E-4
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	5.824111822947001E-4
97	6.503430758351096E-6
98	0.005600192191073851
99	6.525999104903546E-4
100	3.0968191690617817E-4
101	5.332897222711591E-4
102	4.282080758177462E-4
103	4.1083641756459096E-4
104	3.377722643561453E-4
105	2.754096972582266E-4
106	2.9748798442519574E-4
107	4.5316656034261743E-4
108	5.772025530774983E-4
109	3.1534287086978024E-4
110	0.0
111	2.1848086342966146E-4
112	0.0
113	0.0
114	0.0
115	0.0
116	0.0
117	0.0
118	0.0
119	0.0
120	0.0
121	0.0
122	0.0
123	0.0
124	0.0
125	0.0
126	0.0
127	0.0
128	0.0
129	0.0
130	0.0
131	0.0
132	0.0
133	0.0
134	0.0
135	0.0
136	6.316021726954251E-6
137	0.013340018758953338
138	0.34564680487342453
139	0.0
140	0.0
141	0.0039133262486159785
142	0.0
143	0.0
144	0.0
145	0.0
146	0.0
147	0.0
148	0.0
149	0.0
150	0.0
151	0.0
152	0.0
153	0.0
154	0.0
155	0.0
156	0.0
157	0.0
158	0.0
159	0.0
160	0.9758905137262401
161	0.1066733632521854
162	0.46492343371382894
163	0.07511581255525854
164	0.005229537173091131
165	0.009840742848812119
166	0.37906041705320853
167	0.027285110875623412
168	0.021796283092154367
169	0.021811982787377986
170	0.0012114173625329028
171	0.10717123907231209
172	0.0536372453044302
173	0.30603496062866836
174	0.44331311728413203
175	0.622445989961085
176	0.32723864637018857
177	0.30376696323646707
178	0.17713072417533376
179	0.1201747801522342
180	0.07892361704583946
181	0.191489748621255
182	0.07134184675040493
183	0.06003409039715971
184	0.1091952753473552
185	0.14899472917227868
186	0.3557509234014655
187	0.3831650983107813
188	0.36814412452297596
189	0.512531259639291
190	0.3681482703633684
191	0.15033973080619387
192	0.05695134140299161
193	0.17662602595604124
194	0.1365813131714345
195	0.15860961980099283
196	0.15894012676858302
197	0.17916768925103238
198	0.05375792414995262
199	0.12534665968155806
200	0.05992371530339051
201	0.182258917292877
202	0.0170381175243024
203	0.14699337262207046
204	0.1281355320925126
205	0.18968934214221803
206	0.12467444895370475
207	0.1873811367624648
208	0.23512966696361154
209	0.05852667607469254
210	0.1428317479278427
211	0.2791395324928899
212	0.23222194006498872
213	0.05512069876147899
214	0.0356321097993181
215	0.030365477507974404
216	0.013566143494149595
217	0.03293966321411362
218	0.07008169556317442
219	0.026296339798276794
220	0.0031442874388567443
221	0.026284318002004516
222	6.968954206323062E-5
223	0.08861932603574889
224	2.2919357368358462E-5
225	0.8018741366964774
226	0.1640042016305486
227	0.5320831203724905
228	0.506531544192677
229	0.8281632335797997
230	0.352225599743245
231	0.48651871557736215
232	0.4797709876020399
233	0.5109678294928017
234	0.021895713822065368
235	0.19570678615104078
236	0.5254490849900968
237	0.620807712344154
238	0.5669333219062563
239	0.6429233170013889
240	0.5887464419090322
241	0.07674084963381637
242	0.6361284308026474
243	0.6031663245763459
244	0.8064999231279881
245	0.35972967597982997
246	0.22985717202128392
247	0.2550648207229719
248	0.27888976089939993
249	0.28873644094946216
250	0.015661374938736095
251	3.315494273309917E-4
252	0.05957106373945442
253	3.398000031811189E-4
254	0.001732470646974733
255	0.0
