Byte	CorrelationStrength
0	0.9919931799410221
1	0.9989117904561544
2	0.9983955918977659
3	0.9989585221473201
4	0.998640007578972
5	0.9989609340469957
6	0.9989576766741773
7	0.9988828639078825
8	0.9987755879228523
9	0.9988063381361479
10	0.9986416214366517
11	0.9993173679923563
12	0.9987199250914571
13	0.9991479893292093
14	0.9989231791365643
15	0.9986272726947111
16	0.9985921680626236
17	0.9987974851768147
18	0.9993787846284325
19	0.9980034700186828
20	0.9979658372995434
21	0.9991835223207275
22	0.9991375185873582
23	0.9990239062381026
24	0.9987437595046034
25	0.9958478901512341
26	0.9986737246640041
27	0.998958241382791
28	0.9971972688648901
29	0.9976600958723841
30	0.9993880226562101
31	0.9986349437245255
32	0.9970830570257108
33	0.9989017499511834
34	0.9988464570346332
35	0.9994485060483331
36	0.9984102569676548
37	0.9987275681396439
38	0.9989434808696698
39	0.9988597082469463
40	0.9987749113876414
41	0.9988244088030901
42	0.9993572077870163
43	0.9993394324474179
44	0.999314342337266
45	0.9990554518229742
46	0.998886803982222
47	0.9989948370033646
48	0.9981492466919039
49	0.9980810293193814
50	0.9991898089719189
51	0.9990772512489482
52	0.9988535769172547
53	0.9987438680305831
54	0.9985162624959177
55	0.9988690277040478
56	0.9976716461933973
57	0.9987780616805657
58	0.9983038786497099
59	0.9984758818183807
60	0.9978544706225234
61	0.9982573371303334
62	0.9984821228706026
63	0.9983704905908083
64	1.0
65	1.0
66	0.9972231482637678
67	0.9973246320516531
68	0.9990640039596449
69	0.9996020661085375
70	1.0
71	1.0
72	1.0
73	1.0
74	0.9999841124253535
75	1.0
76	1.0
77	1.0
78	1.0
79	1.0
80	0.9982578397212544
81	0.9989771214455954
82	1.0
83	1.0
84	1.0
85	1.0
86	1.0
87	1.0
88	1.0
89	1.0
90	1.0
91	1.0
92	1.0
93	1.0
94	1.0
95	1.0
96	1.0
97	1.0
98	0.9932458661570311
99	0.9992329817262081
100	0.9980060658094978
101	0.997036320919396
102	0.9977712364165566
103	0.9979404333329207
104	0.9984907068865951
105	0.9988681683960332
106	1.0
107	1.0
108	1.0
109	1.0
110	1.0
111	0.9988064352097
112	1.0
113	1.0
114	1.0
115	1.0
116	1.0
117	1.0
118	1.0
119	1.0
120	1.0
121	1.0
122	1.0
123	1.0
124	1.0
125	1.0
126	1.0
127	1.0
128	1.0
129	1.0
130	1.0
131	1.0
132	1.0
133	1.0
134	1.0
135	1.0
136	1.0
137	0.9854538239896725
138	0.6508090282568357
139	1.0
140	1.0
141	0.9966000240233366
142	1.0
143	1.0
144	1.0
145	1.0
146	1.0
147	1.0
148	1.0
149	1.0
150	1.0
151	1.0
152	1.0
153	1.0
154	1.0
155	1.0
156	1.0
157	1.0
158	1.0
159	1.0
160	0.027184615686188598
161	0.8926077645082023
162	0.528624431014152
163	0.9239951720983249
164	0.9950686418557095
165	0.9897026107061899
166	0.619507260366929
167	0.9674301031062416
168	0.9795993048082106
169	0.979609130531857
170	0.9994029970093616
171	0.8907016514097985
172	0.95122908153275
173	0.6920876915120546
174	0.5497549660782898
175	0.367822929604925
176	0.6678104849035916
177	0.690941978894354
178	0.8213916423429729
179	0.8829191002437193
180	0.922962135267037
181	0.8039924987463305
182	0.9267760564849603
183	0.9396244096147237
184	0.8913233542782928
185	0.8506885760284629
186	0.6356676035284152
187	0.6155246241165144
188	0.6268585525134394
189	0.47773507757097755
190	0.626865123014252
191	0.8457061253321556
192	0.9415249679122459
193	0.8240481326545563
194	0.8638271755126121
195	0.8507794686067575
196	0.8475030915734727
197	0.8244664508934314
198	0.951044182940048
199	0.8811100831807989
200	0.9404987629359985
201	0.8202132220460552
202	0.9819482207578353
203	0.8525866166282491
204	0.8743433525683102
205	0.8135502728896262
206	0.8791292940861929
207	0.8153314859911335
208	0.762324763159378
209	0.9405374064234603
210	0.8571252681190973
211	0.7200348538309149
212	0.7685636721078624
213	0.9442572245273174
214	0.9686782740296515
215	0.9724673548942092
216	0.9883783792782443
217	0.9706053138185431
218	0.9301164145905967
219	0.977048057812456
220	0.9970964526826224
221	0.9771020720825974
222	0.9999755172844579
223	0.9184996497905468
224	0.9999900296482401
225	0.18817456143238578
226	0.8351766671700048
227	0.4609054156487063
228	0.4882598318783474
229	0.16240170916895025
230	0.642084637045789
231	0.5061200397681258
232	0.5128476855859146
233	0.4872540885618964
234	0.9772919959771066
235	0.8021407736818963
236	0.4703096364979818
237	0.3642115830170778
238	0.42832817928675854
239	0.34784321043611005
240	0.3994370012308553
241	0.9237831549963917
242	0.35582900094338055
243	0.3905694621251145
244	0.18620251003479918
245	0.6388344917052026
246	0.7714038525576197
247	0.7422876939673743
248	0.7143309565390712
249	0.7101423237862302
250	0.985502628808748
251	0.9996098063352419
252	0.9366230153029609
253	0.9996260401459358
254	0.9981080910437641
255	1.0
