Byte	frequency
0	0.03733039287147987
1	9.013334471705386E-4
2	8.130078683081528E-4
3	6.486740433560548E-4
4	7.23489732239765E-4
5	2.759975502198256E-4
6	2.977471999012119E-4
7	2.211415996218092E-4
8	3.4399507510353357E-4
9	3.4225410653687747E-4
10	3.165466505343484E-4
11	8.387582162267325E-4
12	3.9947094203782976E-4
13	2.867600532194943E-4
14	1.6399088972000598E-4
15	1.6649337278759537E-4
16	2.3832169702353294E-4
17	1.5858456370514533E-4
18	5.626147022903906E-4
19	0.006495051129896499
20	0.005100536535031224
21	2.917935181716324E-4
22	2.2838608175143284E-4
23	4.48330952472676E-4
24	0.002444735252196071
25	0.02544931817041083
26	3.7485339221792044E-4
27	2.737511493863036E-4
28	0.011064736105740453
29	0.01087511595647001
30	1.7331379293673247E-4
31	4.474015845680574E-4
32	0.028307327490618785
33	9.937319328073644E-4
34	0.0013286237693153422
35	4.414632830359884E-4
36	6.957226394753212E-4
37	5.445385380171848E-4
38	0.002398577966059566
39	4.2332873586621144E-4
40	6.247752954107634E-4
41	0.0029214193309317397
42	5.428701105725675E-4
43	3.3777278114250226E-4
44	2.854580917060824E-4
45	0.0012423707462997334
46	8.789245825220678E-4
47	4.4633166248683027E-4
48	3.547242112907674E-4
49	9.383006559104259E-4
50	2.846160657596994E-4
51	0.0011475630414169863
52	4.485775690517869E-4
53	3.3225150247888477E-4
54	5.288756563366919E-4
55	3.098874203781756E-4
56	0.0010399683625343641
57	4.696892155335528E-4
58	8.721486487855791E-4
59	6.85242388222299E-4
60	9.000124479753601E-4
61	4.270787109601266E-4
62	1.8288368224133442E-4
63	6.881987386023981E-4
64	0.0
65	0.0
66	0.029031144270220372
67	0.006147443568459721
68	2.1704408549830045E-4
69	1.7260850345554072E-4
70	1.676211885661823E-5
71	1.1428742179919947E-5
72	0.0
73	1.8477185481451334E-5
74	5.014431917003342E-5
75	1.0395844385597212E-5
76	9.52002479283741E-5
77	1.1428742179919947E-5
78	5.462267632701673E-4
79	2.7574584739754074E-4
80	1.5985289440090977E-4
