Byte	frequency
0	0.0022492876823120857
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	1.092743818311598E-4
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	1.5453731280556232E-4
17	0.0
18	0.0
19	5.254425543537843E-4
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	3.813554228645279E-4
26	0.0
27	1.092743818311598E-4
28	0.0012462989387876462
29	0.001355573320618806
30	1.092743818311598E-4
31	0.0
32	0.0
33	1.892687812972502E-4
34	0.0
35	0.0
36	0.0
37	0.0
38	0.0
39	4.7500444576553945E-4
40	0.0
41	0.0
42	0.0
43	0.0
44	0.0
45	0.0
46	0.0
47	0.0
48	3.4358218079775713E-4
49	1.4188913952491232E-4
50	0.0
51	0.0
52	0.0
53	0.0
54	0.0
55	0.0
56	0.0
57	0.0
58	0.0
59	0.0
60	4.1021951643233144E-4
61	0.0
62	0.0
63	7.121613010151828E-5
64	0.0
65	0.0
66	4.1479831089927537E-4
67	6.168935852904518E-4
68	0.0
69	0.0
70	0.0
71	0.0
72	0.0
73	1.5453731280556232E-4
74	0.0
75	1.092743818311598E-4
76	0.0
77	0.0
78	4.1021951643233144E-4
79	0.0
80	2.8911283899556373E-4
81	0.0
82	0.0
83	0.0
84	0.0
85	0.0
86	0.0
87	0.0
88	0.0
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0022492876823120857
99	0.0
100	0.0
101	0.0
102	0.0
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0
109	0.0
110	0.0
111	0.0
112	0.0
113	0.0
114	0.0
115	0.0
116	0.0
117	0.0
118	0.0
119	0.0
120	0.0
121	0.0
122	0.0
123	0.0
124	0.0
125	0.0
126	0.0
127	0.0
128	0.0
129	0.0
130	0.0
131	0.0
132	0.0
133	0.0
134	0.0
135	0.0
136	0.0
137	0.0039508685595389895
138	0.3907617471389639
139	0.0
140	0.0
141	3.009735572117825E-4
142	0.0
143	0.0
144	0.0
145	0.0
146	0.0
147	0.0
148	0.0
149	0.0
150	0.0
151	0.0
152	0.0
153	0.0
154	0.0
155	0.0
156	0.0
157	0.0
158	0.0
159	0.0
160	0.8802907972165334
161	5.23437253715181E-4
162	0.5219549871345163
163	0.17173103960806532
164	0.0
165	7.526117353053457E-4
166	0.017427105915905773
167	0.007619291901042369
168	0.051334066220798204
169	0.05170122364236964
170	1.2709488901816625E-4
171	0.002324552851322613
172	0.10120076841199382
173	0.5134213878039945
174	0.4646862777635289
175	0.6733461857239367
176	0.4586429492201818
177	0.3905684130063112
178	0.4494351038798762
179	0.3567397730092733
180	0.3802554661732139
181	0.3041532055354563
182	0.28762162043976164
183	0.29150599690200363
184	0.33380990908138675
185	0.3832446290468985
186	0.6071110860576813
187	0.049714384252762485
188	0.4045808512805038
189	0.36725089847095344
190	0.40456719029189186
191	0.1168311757600432
192	6.682386885017977E-4
193	0.12975517767591094
194	0.030199094725529636
195	0.17328477957185714
196	0.14696566524656451
197	0.11235808381162132
198	0.14970835184308595
199	0.04727487469922256
200	0.04232313113359502
201	0.12836202133043698
202	0.009090555131102615
203	0.010652658553869813
204	0.15547782471388605
205	0.06261833709320976
206	0.11488205185456608
207	0.18473285945583484
208	0.06565602063177418
209	0.0039164966422126374
210	0.1641760070993471
211	0.19209590754555367
212	0.17321546335663093
213	0.17895857002604437
214	0.16307125954382548
215	0.031934644645474936
216	0.010779300388292994
217	0.016848236856922435
218	0.010297666446636813
219	0.057483195814688685
220	0.001014367916157852
221	0.05713775449449868
222	0.0
223	0.07192790534398362
224	4.455050187857028E-4
225	0.666767493543164
226	0.40452296823310674
227	0.6930157877667918
228	0.6403741512358417
229	0.8631174685127065
230	0.5482627981438272
231	0.5144526077303564
232	0.3869098436203633
233	0.43347989568088746
234	0.017137052163246538
235	0.3779166706062358
236	0.4332895704998392
237	0.5384976768692451
238	0.6376947647978656
239	0.7369863039215632
240	0.41002227378675055
241	0.016964329375872198
242	0.741144421244706
243	0.8404771538048844
244	0.626126312574685
245	0.3082410587215435
246	0.27690729079912985
247	0.42837661777367314
248	0.30469794718534743
249	0.22407334105268545
250	0.023068485577475834
251	6.620144866587312E-5
252	0.0
253	0.0
254	3.914261602508507E-4
255	0.0
