Byte	CorrelationStrength
0	0.9993115028389309
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	0.9988613350937262
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	0.9997447185092977
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	0.9996936702617674
29	0.9996936702617674
30	1.0
31	1.0
32	1.0
33	1.0
34	1.0
35	1.0
36	1.0
37	1.0
38	1.0
39	1.0
40	1.0
41	1.0
42	1.0
43	1.0
44	1.0
45	1.0
46	1.0
47	1.0
48	1.0
49	1.0
50	1.0
51	1.0
52	1.0
53	1.0
54	1.0
55	1.0
56	1.0
57	1.0
58	1.0
59	1.0
60	0.9978267133808156
61	1.0
62	1.0
63	0.9997833921648166
64	1.0
65	1.0
66	0.9997833921648166
67	0.9988613350937262
68	1.0
69	1.0
70	1.0
71	1.0
72	1.0
73	1.0
74	1.0
75	1.0
76	1.0
77	1.0
78	0.9978267133808156
79	1.0
80	1.0
81	1.0
82	1.0
83	1.0
84	1.0
85	1.0
86	1.0
87	1.0
88	1.0
89	1.0
90	1.0
91	1.0
92	1.0
93	1.0
94	1.0
95	1.0
96	1.0
97	1.0
98	0.9993115028389309
99	1.0
100	1.0
101	1.0
102	1.0
103	1.0
104	1.0
105	1.0
106	1.0
107	1.0
108	1.0
109	1.0
110	1.0
111	1.0
112	1.0
113	1.0
114	1.0
115	1.0
116	1.0
117	1.0
118	1.0
119	1.0
120	1.0
121	1.0
122	1.0
123	1.0
124	1.0
125	1.0
126	1.0
127	1.0
128	1.0
129	1.0
130	1.0
131	1.0
132	1.0
133	1.0
134	1.0
135	1.0
136	1.0
137	0.9971107200307903
138	0.6198892883998728
139	1.0
140	1.0
141	0.9998194887268129
142	1.0
143	1.0
144	1.0
145	1.0
146	1.0
147	1.0
148	1.0
149	1.0
150	1.0
151	1.0
152	1.0
153	1.0
154	1.0
155	1.0
156	1.0
157	1.0
158	1.0
159	1.0
160	0.08640441684842966
161	0.9984373199343135
162	0.51258531527556
163	0.8390945122693506
164	1.0
165	0.9991202077845499
166	0.9901987831820526
167	0.9847799642210964
168	0.9413375556041053
169	0.9409605594820937
170	1.0
171	1.0
172	0.8670719662934706
173	0.5264644803374379
174	0.5566671672016945
175	0.3604423464731668
176	0.568830759171884
177	0.6272236828581806
178	0.5798894507637582
179	0.6664975667726597
180	0.6470415584063015
181	0.7110929074178494
182	0.7379369589679362
183	0.7349098353133822
184	0.7084845891651852
185	0.6443702862907816
186	0.4188412583159502
187	0.9466977952067036
188	0.6082112441692373
189	0.658323622993943
190	0.6082256863504137
191	0.8918142321817464
192	0.9993704363996229
193	0.8670628539211467
194	0.9651767588175418
195	0.8294525276131993
196	0.8465680587002667
197	0.8804719785746701
198	0.8558765690025759
199	0.9590865823443515
200	0.9532335203531823
201	0.8754163603048519
202	0.9924660140138413
203	0.9900699431665825
204	0.847353551397325
205	0.9282638853111678
206	0.885796622826861
207	0.8154994361262552
208	0.9155805471086589
209	0.9951492489513666
210	0.8308395659114185
211	0.8040536699679695
212	0.8305589000768426
213	0.8254269815568928
214	0.8426608662186436
215	0.9691622798214325
216	0.9908863668486296
217	0.9769307792410973
218	0.9893368682074599
219	0.937659682771687
220	1.0
221	0.9386682952703339
222	1.0
223	0.9316806291310553
224	1.0
225	0.34444633471606706
226	0.6149365631002556
227	0.33626642317380934
228	0.38903786508933025
229	0.1591119988125281
230	0.48849674292933265
231	0.4992064852332019
232	0.6174008751935336
233	0.5399354997466087
234	0.9754108500820476
235	0.6531236524912937
236	0.5532964408852848
237	0.4779180864323512
238	0.3757035332785994
239	0.2827154114399497
240	0.589583114977228
241	0.9843644942103348
242	0.2940058313964918
243	0.19467403671696923
244	0.3716859747851308
245	0.6944086812632406
246	0.7304247043138925
247	0.6008163549918493
248	0.7115072654769398
249	0.7760939018121956
250	0.968463802887074
251	1.0
252	1.0
253	1.0
254	0.9988422606527791
255	1.0
