Byte	CorrelationStrength
0	1.0
1	1.0
2	0.9972167236588607
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
30	1.0
31	1.0
32	1.0
33	1.0
34	1.0
35	0.9972167236588607
36	1.0
37	1.0
38	1.0
39	1.0
40	1.0
41	1.0
42	1.0
43	1.0
44	0.9972167236588607
45	1.0
46	1.0
47	1.0
48	1.0
49	1.0
50	1.0
51	1.0
52	1.0
53	1.0
54	1.0
55	1.0
56	1.0
57	1.0
58	1.0
59	1.0
60	1.0
61	1.0
62	1.0
63	1.0
64	1.0
65	1.0
66	0.9972167236588607
67	1.0
68	1.0
69	1.0
70	1.0
71	1.0
72	1.0
73	1.0
74	1.0
75	1.0
76	1.0
77	1.0
78	1.0
79	1.0
80	1.0
81	1.0
82	1.0
83	1.0
84	1.0
85	1.0
86	1.0
87	1.0
88	1.0
89	1.0
90	1.0
91	1.0
92	1.0
93	1.0
94	1.0
95	1.0
96	1.0
97	1.0
98	0.9972167236588607
99	1.0
100	1.0
101	1.0
102	1.0
103	1.0
104	1.0
105	1.0
106	1.0
107	1.0
108	1.0
109	1.0
110	1.0
111	1.0
112	1.0
113	1.0
114	1.0
115	1.0
116	1.0
117	1.0
118	1.0
119	1.0
120	1.0
121	1.0
122	1.0
123	1.0
124	1.0
125	1.0
126	1.0
127	1.0
128	1.0
129	1.0
130	1.0
131	1.0
132	1.0
133	1.0
134	1.0
135	1.0
136	1.0
137	0.9908766234543172
138	0.6697351868582931
139	1.0
140	1.0
141	1.0
142	1.0
143	1.0
144	1.0
145	1.0
146	1.0
147	1.0
148	1.0
149	1.0
150	1.0
151	1.0
152	1.0
153	1.0
154	1.0
155	1.0
156	1.0
157	1.0
158	1.0
159	1.0
160	0.09946259474343055
161	0.9521752077618624
162	0.7554862018293108
163	0.9838294783615081
164	0.7930657089972416
165	0.9890914163248631
166	0.9376864789558849
167	0.807403412155532
168	0.6072578303499845
169	0.6072656816307572
170	0.9640907018672379
171	0.9260696108832626
172	0.7776340605227018
173	0.77615134854938
174	0.624009574946779
175	0.8589699063810736
176	0.9289063223788556
177	0.9493044624340913
178	0.9656563779365416
179	0.9791212408007326
180	0.9863989604363831
181	0.9856010739886116
182	0.9916800059695219
183	0.993445573935121
184	0.9935458610631162
185	0.9784083137753574
186	0.9144003010909655
187	0.703146334844558
188	0.9658775673777242
189	0.7974055310402415
190	0.9658294228434917
191	0.9579659093800761
192	0.9986249589758118
193	0.9033056786710902
194	0.9700527170584237
195	0.8536749815936753
196	0.8624160137978959
197	0.9158211303303558
198	0.9567595884735131
199	0.9855147375104151
200	0.9669809564253281
201	0.9032890955456903
202	0.9934074961463512
203	0.9920319717232159
204	0.9631478779797614
205	0.971351122781645
206	0.9673927324147601
207	0.9759293369345444
208	0.8903346562799415
209	0.9386939252722818
210	0.9719799439413851
211	0.9588150671109485
212	0.9508613680238197
213	0.9833978121703026
214	0.9860318651575752
215	0.9725255532051633
216	0.994407105701707
217	0.9945610283323657
218	0.989841045934965
219	0.9161987132398747
220	0.9561327770736768
221	0.915423362135807
222	0.9768659217075017
223	0.9542745228855447
224	1.0
225	0.5268564817390893
226	0.8488074405137618
227	0.6811898337383767
228	0.6503000382559656
229	0.4302244194187317
230	0.7151588894272929
231	0.8704182199247731
232	0.6812448002145609
233	0.5355035481506492
234	0.9110042728359269
235	0.8494649816672114
236	0.6091913455696661
237	0.775645320178289
238	0.5273658074157508
239	0.5937427496562505
240	0.7101916070520295
241	0.9649582495279306
242	0.5380538357350677
243	0.571880229469695
244	0.5075324176993978
245	0.6365860234274535
246	0.7363894736181672
247	0.8615495906266369
248	0.9223208884782926
249	0.8723061176636733
250	0.9779249538747868
251	0.7656167697097825
252	0.88520006166105
253	0.7656590828436977
254	0.9977450591668382
255	1.0
