Byte	CorrelationStrength
0	0.785945319891624
1	0.8269202860385643
2	0.81410119195495
3	0.8294165328156923
4	0.8292767952007022
5	0.819585865143456
6	0.8258454115354581
7	0.825106362907728
8	0.8295441906609948
9	0.8303003274057975
10	0.8195030189301389
11	0.8322083442488375
12	0.8213144835866004
13	0.8289862419788252
14	0.8303373517137765
15	0.8248302616209042
16	0.8317247279106821
17	0.8409169836281098
18	0.8435388533500796
19	0.8355267134964822
20	0.8384370515841771
21	0.8374140103449643
22	0.8314053089240938
23	0.8212244825847024
24	0.8302695027763354
25	0.8396565717963642
26	0.8349904656218861
27	0.8283225134932588
28	0.8419279533316745
29	0.8423544061994074
30	0.83266166509175
31	0.8114763647359898
32	0.8194442800481484
33	0.8326277791146874
34	0.8400430395526687
35	0.8348248060342239
36	0.838809629402633
37	0.8333665873763586
38	0.8275736763434025
39	0.8284544714090808
40	0.8393932078784349
41	0.8388112689218143
42	0.8219157491685981
43	0.8240326200176201
44	0.8160073667791957
45	0.8257859399565464
46	0.8257540572244966
47	0.8053880673427726
48	0.8246346264775964
49	0.8270843554777048
50	0.8415803189826432
51	0.8387053912914726
52	0.839073981675742
53	0.8277309676129706
54	0.8272438816064955
55	0.8193027879606007
56	0.8218087301924656
57	0.8374590112784833
58	0.832428476141967
59	0.8158507084316173
60	0.8294944801983204
61	0.8138054575887379
62	0.8138538994683695
63	0.7807667938654148
64	0.8184950585891225
65	0.8228326493071534
66	0.8226400793753658
67	0.8221298191506167
68	0.8248988759157776
69	0.8183632588083132
70	0.8211297981011143
71	0.825377335695745
72	0.8281159931729284
73	0.838649136735644
74	0.8446806791160456
75	0.8237215490153816
76	0.837664455171583
77	0.8320287001192607
78	0.8459175235818086
79	0.8295577662462237
80	0.8362379649618344
81	0.8451966253398377
82	0.8363044801080752
83	0.8216990084730534
84	0.8396969523062241
85	0.8258073218819657
86	0.8281818468808041
87	0.8120219530234074
88	0.8249264925723083
89	0.8415664924820792
90	0.8356043309010919
91	0.8135611907902246
92	0.8356028171514363
93	0.8203080775306583
94	0.8227824520563336
95	0.7872455729422762
96	0.8191776428956196
97	0.8208531250068567
98	0.8216805590906741
99	0.8219011535313298
100	0.8271824744021928
101	0.832828848793564
102	0.8355052084241666
103	0.8351701507785667
104	0.8389253235035415
105	0.8249646263820163
106	0.8289739200981567
107	0.8087740096572767
108	0.8355879905627775
109	0.824100306529663
110	0.8220387539172754
111	0.7976653746393579
112	0.8087709376437218
113	0.8150698611071916
114	0.8364615764987625
115	0.8306103729230696
116	0.8222665155774069
117	0.8045895633878294
118	0.8220129883352074
119	0.8031287088090268
120	0.8002970216028972
121	0.827163928699224
122	0.8019597756066111
123	0.804944001788452
124	0.8039163997493635
125	0.7865013538013403
126	0.7778954631264785
127	0.6842900075391789
128	0.010563339156856958
129	0.5435435223293209
130	0.7439941622561269
131	0.7754663101074145
132	0.7849033851576054
133	0.8016848903105344
134	0.7927582104174369
135	0.7938705721858363
136	0.7613728509239909
137	0.8064535783470698
138	0.7825040834883072
139	0.810020709623713
140	0.7848252451734488
141	0.7983745247118051
142	0.7916805269327626
143	0.8084427379861254
144	0.7853840779905474
145	0.8205185448900368
146	0.8191927167213044
147	0.823983805642214
148	0.7999092966435526
149	0.8116772333984225
150	0.8296220082434812
151	0.8179193029385756
152	0.7989838794847662
153	0.8214807576348231
154	0.8260594370674966
155	0.8246997808995588
156	0.8103896936715592
157	0.8271231531042148
158	0.8282801631078115
159	0.8127307702700235
160	0.6932293773429394
161	0.8205823195627455
162	0.8009698394834689
163	0.8310769754853082
164	0.8273914556359017
165	0.8341449505087762
166	0.8348530624936825
167	0.8234663662075166
168	0.8150550895906415
169	0.8299740745122794
170	0.831817449892178
171	0.822848478869652
172	0.8318269647408378
173	0.8245651936711526
174	0.8192316214970112
175	0.8072645542703006
176	0.7628434378270831
177	0.7862908897487909
178	0.8054752027127976
179	0.8197407541806517
180	0.8067968903527063
181	0.8167154691434997
182	0.8110553372766326
183	0.8075800062466238
184	0.8049831920309156
185	0.8266221911269093
186	0.8021450967166754
187	0.829500954532467
188	0.8199877213738227
189	0.811558641410531
190	0.81414638057878
191	0.802890427854069
192	0.8090882707093969
193	0.808428631305421
194	0.8221227414334769
195	0.8197488850753127
196	0.8200490644161776
197	0.8207009042827001
198	0.8216806317787246
199	0.8298210683367662
200	0.8106073942607694
201	0.8284111313343028
202	0.8355055343637481
203	0.8264498063045167
204	0.8287296565680133
205	0.8186984632120233
206	0.8275230276652072
207	0.8104323699501749
208	0.8156415203844133
209	0.827350867997021
210	0.8258137979509863
211	0.8297999526476115
212	0.8256943304378566
213	0.8153209208692578
214	0.8204155773276125
215	0.8184471437044003
216	0.8185360998528509
217	0.8374336709498977
218	0.8268377408345887
219	0.8271287616292907
220	0.8265352348687844
221	0.8251784633146424
222	0.8164242379446438
223	0.8006515500470318
224	0.8187708965142889
225	0.7937091621228827
226	0.8166873841978588
227	0.808032515967647
228	0.8073097320586035
229	0.7896753477509052
230	0.8111232356428275
231	0.8300345877618537
232	0.820644579186657
233	0.7989708540984501
234	0.8326399989239734
235	0.8219938982540036
236	0.8146175889956015
237	0.798521649791335
238	0.8089178885468191
239	0.7881502474402171
240	0.8069166292823555
241	0.8227370844424231
242	0.8120151044475651
243	0.8056300156105881
244	0.7854322323026641
245	0.8242958707380085
246	0.8195294152581368
247	0.8073540734608781
248	0.808716030933792
249	0.8346585645865635
250	0.8229233599433224
251	0.8159280691700616
252	0.8191203957061904
253	0.8147914568952482
254	0.8073348630303381
255	0.7751876260558075
